user_id,artist_id,first_stream_date,cohort_label
1,1,2023-09-27,Early Fan
2,2,2024-09-25,Viral Adopter
3,2,2024-12-01,Late Casual
4,1,2023-10-18,Viral Adopter
5,1,2023-09-06,Day One
6,2,2025-02-17,Late Casual
7,2,2024-10-04,Viral Adopter
8,2,2024-08-20,Day One
9,1,2023-10-02,Early Fan
10,1,2023-11-10,Viral Adopter
11,1,2023-09-22,Early Fan
12,2,2024-12-31,Late Casual
13,1,2023-09-27,Early Fan
14,2,2024-10-18,Viral Adopter
15,1,2023-09-22,Early Fan
16,2,2024-10-30,Viral Adopter
17,2,2024-09-20,Early Fan
18,2,2024-08-28,Early Fan
19,1,2023-09-21,Early Fan
20,1,2023-09-10,Day One
21,1,2023-09-08,Day One
22,2,2024-09-05,Early Fan
23,2,2024-08-23,Day One
24,2,2024-08-26,Day One
25,2,2024-12-19,Late Casual
26,2,2024-09-04,Early Fan
27,1,2023-09-15,Early Fan
28,2,2024-09-13,Early Fan
29,1,2023-11-10,Viral Adopter
30,1,2023-11-08,Viral Adopter
31,2,2024-09-03,Early Fan
32,1,2023-09-24,Early Fan
33,1,2023-10-09,Viral Adopter
34,2,2024-11-11,Late Casual
35,1,2023-11-24,Late Casual
36,2,2024-08-22,Day One
37,1,2023-11-13,Viral Adopter
38,1,2023-09-07,Day One
39,1,2023-11-05,Viral Adopter
40,1,2023-09-21,Early Fan
41,2,2024-09-05,Early Fan
42,1,2023-10-24,Viral Adopter
43,2,2024-09-23,Viral Adopter
44,1,2023-10-29,Viral Adopter
45,2,2024-08-24,Day One
46,2,2024-10-08,Viral Adopter
47,2,2024-11-02,Late Casual
48,1,2023-09-06,Day One
49,1,2023-10-06,Early Fan
50,1,2023-11-14,Viral Adopter
51,2,2024-09-13,Early Fan
52,1,2023-10-10,Viral Adopter
53,1,2023-10-29,Viral Adopter
54,2,2024-12-03,Late Casual
55,1,2024-01-10,Late Casual
56,2,2024-09-02,Early Fan
57,1,2023-10-04,Early Fan
58,1,2023-09-22,Early Fan
59,2,2024-08-27,Day One
60,1,2023-09-24,Early Fan
61,2,2024-10-08,Viral Adopter
62,1,2023-12-19,Late Casual
63,1,2023-12-25,Late Casual
64,2,2024-08-22,Day One
65,2,2024-10-16,Viral Adopter
66,2,2024-10-23,Viral Adopter
67,1,2023-09-26,Early Fan
68,2,2024-09-10,Early Fan
69,1,2024-02-20,Late Casual
70,1,2023-09-18,Early Fan
71,2,2025-02-02,Late Casual
72,1,2023-11-10,Viral Adopter
73,2,2024-09-08,Early Fan
74,1,2023-10-04,Early Fan
75,1,2023-09-12,Day One
76,2,2024-10-29,Viral Adopter
77,2,2024-10-12,Viral Adopter
78,2,2024-10-30,Viral Adopter
