artist_id,date,sentiment_score,social_impressions,mention_volume
1,2020-11-29,1.0,60000,4
2,2020-11-29,3.0,60000,4
1,2020-12-06,1.0,60000,4
2,2020-12-06,3.0,60000,4
1,2020-12-13,1.0,60000,4
2,2020-12-13,3.0,60000,4
1,2020-12-20,1.0,60000,4
2,2020-12-20,3.0,60000,4
1,2020-12-27,1.0,60000,4
2,2020-12-27,3.0,60000,4
1,2021-01-03,18.0,360000,26
2,2021-01-03,8.0,360000,26
1,2021-01-10,100.0,2000000,123
2,2021-01-10,23.0,2000000,123
1,2021-01-17,56.0,1120000,87
2,2021-01-17,31.0,1120000,87
1,2021-01-24,34.0,680000,54
2,2021-01-24,20.0,680000,54
1,2021-01-31,23.0,460000,34
2,2021-01-31,11.0,460000,34
1,2021-02-07,17.0,340000,24
2,2021-02-07,7.0,340000,24
1,2021-02-14,14.0,280000,19
2,2021-02-14,5.0,280000,19
1,2021-02-21,17.0,340000,23
2,2021-02-21,6.0,340000,23
1,2021-02-28,12.0,240000,16
2,2021-02-28,4.0,240000,16
1,2021-03-07,9.0,180000,13
2,2021-03-07,4.0,180000,13
1,2021-03-14,8.0,160000,11
2,2021-03-14,3.0,160000,11
1,2021-03-21,7.0,140000,10
2,2021-03-21,3.0,140000,10
1,2021-03-28,15.0,300000,19
2,2021-03-28,4.0,300000,19
1,2021-04-04,14.0,280000,18
2,2021-04-04,4.0,280000,18
1,2021-04-11,14.0,280000,18
2,2021-04-11,4.0,280000,18
1,2021-04-18,11.0,220000,14
2,2021-04-18,3.0,220000,14
1,2021-04-25,12.0,240000,15
2,2021-04-25,3.0,240000,15
1,2021-05-02,11.0,220000,14
2,2021-05-02,3.0,220000,14
1,2021-05-09,31.0,620000,39
2,2021-05-09,8.0,620000,39
1,2021-05-16,75.0,1500000,81
2,2021-05-16,6.0,1500000,81
1,2021-05-23,90.0,1800000,97
2,2021-05-23,7.0,1800000,97
1,2021-05-30,67.0,1340000,72
2,2021-05-30,5.0,1340000,72
1,2021-06-06,53.0,1060000,57
2,2021-06-06,4.0,1060000,57
1,2021-06-13,48.0,960000,52
2,2021-06-13,4.0,960000,52
1,2021-06-20,48.0,960000,51
2,2021-06-20,3.0,960000,51
1,2021-06-27,54.0,1080000,57
2,2021-06-27,3.0,1080000,57
1,2021-07-04,43.0,860000,46
2,2021-07-04,3.0,860000,46
1,2021-07-11,54.0,1080000,57
2,2021-07-11,3.0,1080000,57
