user_id,artist_id,streamed_previous_album,streamed_new_album,streams
1,1,1,0,75
2,2,1,1,57
3,2,0,0,93
4,1,1,1,66
5,1,1,1,334
6,2,1,0,65
7,2,1,1,77
8,2,1,1,189
9,1,0,0,110
10,1,0,0,70
11,1,1,1,161
12,2,0,1,31
13,1,1,1,94
14,2,1,1,253
15,1,1,1,135
16,2,1,1,143
17,2,1,1,357
18,2,1,1,412
19,1,1,0,95
20,1,1,1,130
21,1,1,1,185
22,2,1,1,187
23,2,1,1,218
24,2,1,1,238
25,2,0,1,46
26,2,1,1,323
27,1,1,1,270
28,2,1,1,271
29,1,1,1,148
30,1,0,1,66
31,2,1,1,108
32,1,1,1,212
33,1,1,1,118
34,2,1,0,34
35,1,1,0,22
36,2,1,1,261
37,1,1,0,97
38,1,1,1,139
39,1,1,0,115
40,1,1,0,119
41,2,1,1,526
42,1,1,1,137
43,2,1,1,107
44,1,0,1,66
45,2,1,1,134
46,2,1,1,188
47,2,1,1,107
48,1,1,0,220
49,1,1,0,235
50,1,1,1,216
51,2,1,1,107
52,1,0,0,91
53,1,0,1,83
54,2,1,0,53
55,1,0,1,127
56,2,1,1,316
57,1,1,0,92
58,1,1,0,59
59,2,1,1,99
60,1,1,1,157
61,2,1,1,70
62,1,0,1,33
63,1,0,0,101
64,2,1,1,156
65,2,1,1,99
66,2,1,0,69
67,1,1,1,486
68,2,1,1,270
69,1,1,0,15
70,1,1,1,129
71,2,1,1,192
72,1,1,1,67
73,2,1,1,228
74,1,1,1,134
75,1,1,1,295
76,2,1,1,167
77,2,0,1,46
78,2,1,0,101
79,2,0,1,40
80,2,1,0,32
81,2,1,1,360
82,2,0,1,175
83,1,0,0,50
84,1,1,1,147
85,1,1,0,36
86,2,1,0,93
87,2,1,1,257
88,1,0,0,46
89,2,1,1,95
90,2,1,0,116
91,1,1,0,156
92,2,1,1,109
93,2,1,1,235
94,1,1,1,138
95,2,1,0,239
96,1,1,0,237
97,2,0,1,35
98,2,1,1,174
99,2,1,0,140
100,1,1,1,182
101,2,1,0,36
102,2,1,1,295
103,1,1,1,365
104,2,1,1,111
105,1,1,1,202
106,2,1,1,228
107,1,0,0,36
108,1,1,1,68
109,1,0,1,141
110,2,1,1,216
111,1,1,0,125
112,2,1,0,79
113,1,0,0,45
114,1,1,1,86
115,2,1,1,102
116,2,1,1,436
117,1,1,1,126
118,2,1,1,301
119,2,1,1,370
120,2,1,1,312
121,1,1,1,159
122,1,0,0,57
123,2,1,1,197
124,1,1,0,41
125,2,1,1,449
126,2,0,0,48
127,2,0,1,54
128,2,1,1,193
129,2,0,0,88
130,1,0,0,57
131,2,1,0,106
132,1,0,1,111
133,1,0,0,52
134,2,1,1,115
135,2,0,1,26
136,2,0,1,144
137,2,1,0,108
138,1,0,1,56
139,1,1,1,290
140,2,1,1,276
141,1,1,0,129
142,1,1,0,159
143,1,1,1,288
144,1,1,1,322
145,1,1,1,156
146,1,0,1,152
147,1,0,0,53
148,1,1,1,103
149,2,1,0,95
150,1,1,0,98
151,1,1,0,29
152,2,0,1,143
153,1,1,1,240
154,2,1,0,108
155,2,1,1,108
156,1,1,1,103
157,1,1,1,207
158,2,1,0,100
159,2,0,1,72
160,1,1,0,45
161,2,1,1,185
162,1,1,1,107
163,2,1,0,757
164,1,1,0,82
165,2,1,1,264
166,2,1,1,304
167,2,1,1,145
168,2,1,1,23
169,1,0,1,29
170,1,1,1,217
171,1,1,1,216
172,1,1,1,62
173,2,1,1,139
174,1,1,1,146
175,1,1,1,113
176,2,1,1,240
177,2,1,1,171
178,2,1,1,127
179,2,0,1,155
180,1,1,1,66
